il,sismik_tehlike,maruziyet,kirilganlik,sigortasizlik_acigi,bilesik_risk_skoru,mc_ortalama,ci_alt_95,ci_ust_95
Ankara,0.334435018384298,10,0.334435018384298,5,3.700661011030579,3.675655532010588,3.1377416644636282,4.207562476274782
Van,2.557299141382419,4.423076923076923,2.557299141382419,5,3.3613025617525283,3.3619464239075985,3.0376608619697905,3.682406523562327
Hatay,1.1027560132683067,5.769230769230768,1.1027560132683067,5,2.8924228387302144,2.89240332930032,2.498664093564509,3.2847446270282195
Antalya,2.2908761565178333,2.98076923076923,2.2908761565178333,5,2.768756463141469,2.770840343563852,2.4493764819824624,3.0883802366077613
Adana,0.6701892158018831,6.009615384615385,0.6701892158018831,5,2.7049981448657454,2.710996486144751,2.3110946725556367,3.1246757425172627
Bursa,0.16900268464649426,5.048076923076923,0.16900268464649426,5,2.1158246877109734,2.142633423825973,1.797444547827218,2.519010213490405
Malatya,1.1938259393165322,2.740384615384616,1.1938259393165322,5,2.0384109482053043,2.03794643526673,1.7208141176150107,2.356550816822498
Mersin,0.4462202257748238,3.9423076923076925,0.4462202257748238,5,1.950424443157202,1.953543658604809,1.6081237676141695,2.3111032108036142
Gaziantep,0.36649269957486796,3.9423076923076925,0.36649269957486796,5,1.9025879274372284,1.9111246174807595,1.5837426541982116,2.260777859542684
Erzurum,0.5392575429193485,3.2692307692307687,0.5392575429193485,5,1.8043237565208397,1.8069014196478523,1.4766164575363327,2.1526407182745313
Manisa,0.5859169141728874,3.1250000000000004,0.5859169141728874,5,1.7890501485037325,1.790971670003721,1.45586249872669,2.1273603967828065
Çanakkale,1.2626933177000133,1.4423076923076925,1.2626933177000133,5,1.6903082983123157,1.6909239192217695,1.3656423203703145,2.0129869744112714
Konya,0.25820188950373196,3.0769230769230766,0.25820188950373196,5,1.577998056779162,1.5949024514388497,1.2912360897717403,1.9230507755245594
Denizli,0.5212348945066647,2.355769230769231,0.5212348945066647,5,1.5194717059347682,1.520494208124404,1.2025753394449137,1.8464835330981466
