il,sismik_tehlike,sigortasizlik_acigi,nufus_skoru,kirilganlik_skoru,maruziyet_skoru,bilesik_risk_skoru
Muğla,10.0,5,0.69,5.03,2.43,6.235
İstanbul,0.1203646843715375,5,10.0,5.2,8.08,4.012
Van,2.557299141382419,5,0.75,6.0,2.85,3.578
Kahramanmaraş,2.1423212382642656,5,0.75,6.5,3.05,3.572
İzmir,2.008670175891691,5,2.86,4.9,3.68,3.387
Hatay,1.1027560132683067,5,1.08,6.2,3.13,3.12
Antalya,2.2908761565178333,5,1.72,3.8,2.55,2.941
Adana,0.6701892158018831,5,1.44,5.8,3.18,2.882
Malatya,1.1938259393165322,5,0.5,5.5,2.5,2.828
Ankara,0.334435018384298,5,3.69,4.5,4.01,2.737
Çanakkale,1.2626933177000133,5,0.37,5.03,2.23,2.68
Erzurum,0.5392575429193485,5,0.49,5.8,2.61,2.659
Diyarbakır,0.1812970214062058,5,1.17,5.5,2.9,2.543
Adıyaman,0.8338744276502918,5,0.39,5.03,2.25,2.515
Manisa,0.5859169141728874,5,0.94,5.03,2.58,2.514
Mersin,0.4462202257748238,5,1.23,5.03,2.75,2.509
Elazığ,0.6883738098831028,5,0.38,5.2,2.31,2.508
Ardahan,0.9080677553273108,5,0.06,5.03,2.05,2.484
Denizli,0.5212348945066647,5,0.68,5.03,2.42,2.44
Afyonkarahisar,0.6150593777230119,5,0.47,5.03,2.29,2.439
Bingöl,0.7334419128136727,5,0.18,5.03,2.12,2.435
Gaziantep,0.3664926995748679,5,1.38,4.8,2.75,2.432
Şanlıurfa,0.1567233706965341,5,1.42,5.03,2.86,2.427
Aydın,0.4576806222570078,5,0.73,5.03,2.45,2.424
Balıkesir,0.428240161407591,5,0.8,5.03,2.49,2.424
Hakkari,0.6597808600178651,5,0.17,5.03,2.11,2.403
Kars,0.5856647531243396,5,0.18,5.03,2.12,2.376
Kütahya,0.4502906806386575,5,0.36,5.03,2.23,2.355
Bursa,0.1690026846464942,5,2.04,4.4,2.98,2.342
Kayseri,0.1451581183893903,5,0.92,5.03,2.56,2.332
Tekirdağ,0.1885790993055036,5,0.71,5.03,2.44,2.313
Düzce,0.3568846677994914,5,0.27,5.03,2.17,2.3
Burdur,0.386031897377928,5,0.18,5.03,2.12,2.296
Osmaniye,0.2566135906182456,5,0.36,5.03,2.23,2.278
Erzincan,0.3757833809678577,5,0.15,5.0,2.09,2.277
Sivas,0.2232091596601526,5,0.41,5.03,2.26,2.273
Şırnak,0.2442374139857064,5,0.37,5.03,2.23,2.273
Ağrı,0.2028999812220492,5,0.32,5.03,2.2,2.247
Eskişehir,0.0679361741671498,5,0.58,5.03,2.36,2.241
Bolu,0.2289548360015625,5,0.21,5.03,2.14,2.24
Çorum,0.1740354182888505,5,0.33,5.03,2.21,2.239
Yalova,0.2240959968978782,5,0.19,5.03,2.13,2.235
Bitlis,0.2065728625873517,5,0.22,5.03,2.14,2.231
Tokat,0.1348133633077517,5,0.37,5.03,2.23,2.229
Çankırı,0.2376573635421031,5,0.13,5.03,2.09,2.228
Isparta,0.1680687799230441,5,0.28,5.03,2.18,2.227
Edirne,0.1629317361057688,5,0.27,5.03,2.17,2.222
Mardin,0.0361826564521129,5,0.55,5.03,2.34,2.222
Amasya,0.1692572320819066,5,0.21,5.03,2.14,2.216
Konya,0.2582018895037319,5,1.48,4.2,2.57,2.214
Muş,0.1420433310554756,5,0.26,5.03,2.17,2.214
Tunceli,0.2273860574922666,5,0.06,5.03,2.05,2.212
Ordu,0.0196926322309993,5,0.47,5.03,2.29,2.201
Siirt,0.1190434795133006,5,0.23,5.03,2.15,2.199
Trabzon,0.1717824424025924,5,0.52,4.8,2.23,2.198
Artvin,0.1670935176434379,5,0.11,5.03,2.08,2.197
Zonguldak,0.0355693910885177,5,0.38,5.03,2.24,2.192
Kastamonu,0.1036604302464744,5,0.23,5.03,2.15,2.192
Kırıkkale,0.1140597864513665,5,0.19,5.03,2.13,2.191
Iğdır,0.143590860773444,5,0.13,5.03,2.09,2.19
Aksaray,0.0604407086120981,5,0.28,5.03,2.18,2.184
Yozgat,0.0608699943666147,5,0.26,5.03,2.17,2.181
Giresun,0.0284146285132412,5,0.27,5.03,2.17,2.168
Kırklareli,0.0180572579280789,5,0.24,5.03,2.16,2.161
Bilecik,0.0583964907334477,5,0.15,5.03,2.1,2.159
Niğde,0.0133555568071829,5,0.24,5.03,2.16,2.159
Rize,0.0245306145438053,5,0.22,5.03,2.14,2.158
Samsun,0.0606292309275737,5,0.88,4.6,2.37,2.155
Kırşehir,0.0345018550852225,5,0.15,5.03,2.1,2.15
Sinop,0.0248713175235804,5,0.13,5.03,2.09,2.143
Bartın,0.0236902138603601,5,0.13,5.03,2.09,2.142
Kilis,0.0314128147352618,5,0.09,5.03,2.07,2.14
Karaman,0.0,5,0.16,5.03,2.11,2.139
Kocaeli,0.2941099544965007,5,1.33,4.0,2.4,2.138
Gümüşhane,0.0180572579280789,5,0.11,5.03,2.08,2.137
Bayburt,0.0399076756976537,5,0.05,5.03,2.04,2.134
Sakarya,0.3788241666508869,5,0.69,3.8,1.93,1.991
