il_adi,deprem_sayisi,ort_buyukluk,max_buyukluk,ort_derinlik,m5_ustu,m6_ustu,sismik_skor
Mugla,1328,4.33441265060241,6.6,34.20952635542169,94,9,9.54
Van,341,4.4035190615835775,7.1,9.37392375366569,25,2,4.55
K. Maras,284,4.416901408450705,7.8,9.840295774647887,19,3,4.47
Izmir,257,4.343968871595331,7.0,15.459214007782101,21,4,4.11
Antalya,275,4.308363636363636,6.6,46.48006909090909,17,1,3.94
Çanakkale,163,4.344171779141105,6.9,12.672883435582822,12,1,3.52
Ardahan,107,4.548598130841121,7.0,13.475242990654207,13,3,3.37
Malatya,149,4.48255033557047,6.0,9.577845637583891,19,2,3.27
Elazığ,79,4.563291139240507,6.7,9.719278481012658,14,2,3.17
Kocaeli,27,4.655555555555556,7.6,10.866666666666665,7,1,3.17
Hatay,145,4.415862068965517,6.3,11.089531034482759,9,1,3.16
Bingöl,88,4.495454545454546,6.4,9.801102272727272,13,1,3.07
Düzce,40,4.49,7.2,9.81475,4,2,3.0
Afyon,64,4.45,6.5,18.51328125,9,3,2.93
Erzincan,42,4.457142857142857,6.7,11.281095238095238,5,1,2.84
Gaziantep,41,4.45609756097561,6.7,10.918682926829268,5,1,2.84
Adana,85,4.370588235294117,6.3,12.983294117647057,4,1,2.83
Kars,65,4.4799999999999995,6.3,17.47946153846154,7,1,2.82
Adiyaman,107,4.381308411214953,5.6,11.77426168224299,9,0,2.75
Hakkari,75,4.449333333333334,5.9,20.927066666666665,6,0,2.68
Denizli,62,4.380645161290323,5.7,10.923387096774194,9,0,2.62
Erzurum,64,4.4390625,5.7,13.549890625,7,0,2.58
Kütahya,58,4.363793103448276,5.8,8.488793103448277,5,0,2.56
Manisa,77,4.31038961038961,5.6,9.656077922077923,5,0,2.55
Tunceli,23,4.586956521739131,6.1,10.293173913043479,4,1,2.52
Mersin,40,4.3375,5.9,26.877724999999998,4,0,2.5
Konya,25,4.556,6.0,13.99652,3,1,2.47
Çankiri,24,4.370833333333334,6.0,14.216666666666667,1,1,2.42
Ankara,42,4.352380952380953,5.7,9.747761904761905,3,0,2.41
Aydin,60,4.278333333333333,5.4,10.248766666666667,3,0,2.37
Amasya,17,4.476470588235294,5.8,11.352941176470589,2,0,2.34
Osmaniye,28,4.535714285714286,5.5,10.423714285714285,5,0,2.33
Diyarbakir,19,4.5473684210526315,5.7,11.178947368421053,2,0,2.31
Artvin,16,4.4125,5.7,12.239375,2,0,2.3
Sakarya,49,4.314285714285714,5.3,9.820204081632653,3,0,2.29
Tekirdag,20,4.42,5.7,12.395,1,0,2.29
Edirne,18,4.327777777777778,5.7,10.733333333333333,1,0,2.28
Balikesir,56,4.2785714285714285,5.2,11.247982142857142,2,0,2.25
Sirnak,19,4.5736842105263165,5.4,19.789473684210527,3,0,2.21
Sivas,27,4.292592592592593,5.4,10.994555555555555,1,0,2.2
Yozgat,5,4.6,5.6,8.672999999999998,1,0,2.19
Bolu,28,4.335714285714285,5.2,9.024642857142856,3,0,2.17
Burdur,38,4.302631578947368,5.1,23.22963157894737,2,0,2.15
Yalova,27,4.318518518518518,5.2,10.358777777777778,2,0,2.14
Sanliurfa,12,4.4750000000000005,5.4,16.115,1,0,2.14
Çorum,22,4.263636363636364,5.2,9.107,1,0,2.1
Agri,18,4.394444444444444,5.2,17.22222222222222,1,0,2.09
Bursa,18,4.327777777777778,5.1,11.434277777777778,2,0,2.07
Isparta,20,4.3,5.1,10.334999999999999,1,0,2.06
Kayseri,19,4.315789473684211,5.1,7.966947368421053,1,0,2.05
Tokat,17,4.276470588235294,5.1,8.488117647058823,1,0,2.05
Siirt,11,4.463636363636364,5.1,10.986636363636363,2,0,2.05
Iğdır,15,4.286666666666666,5.1,11.776066666666667,1,0,2.04
Mus,16,4.4,5.0,9.545625,2,0,2.03
Bitlis,22,4.3,5.0,14.11568181818182,1,0,2.03
Aksaray,4,4.4,5.1,10.5,1,0,2.0
Kirsehir,3,4.5,5.0,7.733333333333334,1,0,1.96
Istanbul,12,4.425,4.9,12.539166666666667,0,0,1.93
Mardin,2,4.65,4.9,10.0,0,0,1.89
Kinkkale,9,4.355555555555556,4.8,14.833333333333334,0,0,1.88
Zinguldak,2,4.699999999999999,4.8,10.0,0,0,1.85
Bayburt,3,4.466666666666666,4.7,10.0,0,0,1.82
Kastamonu,11,4.263636363636364,4.6,11.66909090909091,0,0,1.81
Samsun,6,4.316666666666666,4.6,10.321,0,0,1.79
Bilecik,4,4.15,4.5,12.3,0,0,1.75
Bartın,3,4.2,4.5,8.166666666666666,0,0,1.74
Kilis,3,4.3,4.5,9.200000000000001,0,0,1.74
Nigde,2,4.35,4.5,7.5,0,0,1.74
Karaman,1,4.5,4.5,6.4,0,0,1.73
Rize,1,4.5,4.5,10.0,0,0,1.73
Eskisehir,2,4.35,4.4,15.65,0,0,1.7
Giresun,3,4.233333333333333,4.4,8.966666666666667,0,0,1.7
Ordu,1,4.2,4.2,10.0,0,0,1.62
Kirklareli,1,4.1,4.1,10.0,0,0,1.58
Gümüshane,1,4.1,4.1,10.0,0,0,1.58
Sinop,2,4.1,4.1,10.0,0,0,1.58
Trabzon,1,4.0,4.0,32.8,0,0,1.54
