tarih,buyukluk,derinlik_km,kaynak
2024-12-30T20:30:28,4.4,8.41,AFAD
2024-12-29T08:02:11,4.5,6.75,AFAD
2024-12-29T00:15:11,4.3,15.8,AFAD
2024-12-18T00:01:24,4,7.96,AFAD
2024-12-12T14:20:14,4.5,7,AFAD
2024-12-12T11:35:07,4.4,7.05,AFAD
2024-12-04T09:09:10,4.6,32.69,AFAD
2024-12-03T16:51:29,4,8.99,AFAD
2024-11-29T19:13:15,4.8,34.79,AFAD
2024-11-28T07:11:59,4.1,15,AFAD
2024-11-27T02:56:43,4.3,10.53,AFAD
2024-11-27T02:50:07,4.3,8.71,AFAD
2024-11-25T17:20:04,4.6,9.75,AFAD
2024-11-24T01:47:58,4,7.71,AFAD
2024-11-15T09:02:00,4.7,12.85,AFAD
2024-11-15T07:46:20,4.9,7,AFAD
2024-11-08T14:04:00,5,16.22,AFAD
2024-11-03T18:15:42,4.2,13.17,AFAD
2024-11-02T22:58:30,4.2,10.52,AFAD
2024-10-27T17:07:09,5,9.7,AFAD
2024-10-27T14:56:01,4.3,9.02,AFAD
2024-10-19T11:41:09,4.4,10.84,AFAD
2024-10-17T08:39:06,4.1,22.98,AFAD
2024-10-17T08:29:55,4.7,10.57,AFAD
2024-10-16T07:46:31,5.9,10.48,AFAD
2024-10-15T16:54:18,4.7,23.55,AFAD
2024-10-15T11:17:00,4,11.08,AFAD
2024-10-14T21:05:51,4.4,7,AFAD
2024-10-13T00:14:31,4.4,10.26,AFAD
2024-10-11T07:16:43,4.8,14.07,AFAD
2024-10-07T05:54:58,4.5,6.91,AFAD
2024-10-06T12:08:40,4.2,24.16,AFAD
2024-10-01T11:49:04,4,11.01,AFAD
2024-09-25T11:50:03,4.5,8.67,AFAD
2024-09-18T00:22:23,4,7,AFAD
2024-09-17T22:38:40,4.4,8.15,AFAD
2024-09-17T11:22:57,4,17.73,AFAD
2024-09-16T13:44:45,4.1,7,AFAD
2024-09-13T06:48:49,4.1,9.48,AFAD
2024-09-07T06:31:10,5,7,AFAD
2024-08-23T11:59:45,4,7.05,AFAD
2024-08-22T00:19:23,4.1,22.69,AFAD
2024-08-19T09:02:58,4,10.31,AFAD
2024-08-18T18:15:19,4.1,7.01,AFAD
2024-08-16T10:18:28,4.2,7.1,AFAD
2024-08-16T10:15:35,5.2,7.16,AFAD
2024-08-14T01:54:28,4,13.04,AFAD
2024-08-13T07:33:16,4.1,9.71,AFAD
2024-08-13T00:28:39,4.4,25.75,AFAD
2024-08-12T20:55:59,5.2,25.83,AFAD
2024-08-09T08:51:50,4.2,12.4,AFAD
2024-08-09T07:38:21,4.1,11.76,AFAD
2024-08-07T02:34:25,4,7,AFAD
2024-08-07T02:33:12,4.5,7,AFAD
2024-08-07T02:32:27,4.6,7,AFAD
2024-08-03T02:05:35,4,4.69,AFAD
2024-08-01T02:52:12,4.4,10.83,AFAD
2024-07-26T16:02:29,4.5,8.87,AFAD
2024-07-26T15:27:17,4.2,11.88,AFAD
2024-07-24T20:20:13,4,7,AFAD
2024-07-22T14:39:22,4.7,10.23,AFAD
2024-07-21T02:55:08,4.1,9.26,AFAD
2024-07-19T19:26:18,4.1,3.66,AFAD
2024-07-12T20:19:45,4.3,7,AFAD
2024-07-11T03:24:42,4.4,6.99,AFAD
2024-07-10T09:54:31,4.3,14.27,AFAD
2024-07-09T21:41:03,4.2,7.69,AFAD
2024-07-09T09:11:51,4.4,67,AFAD
